Brand,Nama Product,Category,SkinType,Ingredients,Berat (g),Price,Link
Wardah,Wardah 14X Hyaluron + Pentavitin Deep Water Restore Gel Moisturizer,Moisturizer,Dry Skin,"Aqua, Trisiloxane, Glycerin, Triheptanoin, Butylene Glycol, Trehalose, Biosaccharide Gum-1, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone, Saccharide Isomerate, Bisabolol, Phenoxyethanol, Beta-Glucan, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Potassium Hyaluronate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer",30,89000,https://shopee.co.id/Wardah-14X-Hyaluron-Pentavitin-Deep-Water-Restore-Gel-Moisturizer-30-g-Pelembab-Gel-Ringan-yang-Meningkatkan-Kadar-Air-di-Kulit-Memperbaiki-Skin-Barrier-Ringan-Long-lasting-Hydration-(Hydrated-Glass-Skin)-i.59763733.24414563519?sp_atk=1ba76270-47f8-4618-84a2-2ddf0b35a207&xptdk=1ba76270-47f8-4618-84a2-2ddf0b35a207
Wardah,Wardah Alpha Arbutin + 5% Niacinamide Crystal Secret Brightening Day Cream,Moisturizer,Dry Skin,"Aqua, Ethylhexyl Methoxycinnamate, Niacinamide, Butyl Methoxydibenzoylmethane, Butyloctyl Salicylate, Octocrylene, Glyceryl Stearate, Titanium Dioxide, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Stearyl Alcohol, Phenoxyethanol, PEG-100 Stearate, Polymethylsilsesquioxane, Silica, Dimethicone, Alpha-Arbutin, Bisabolol, Polysorbate 20, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer",30,81000,https://shopee.co.id/Wardah-Alpha-Arbutin-5-Niacinamide-Crystal-Secret-Brightening-Day-Cream-Pelembab-Wajah-yang-Mencerahkan-Melembapkan-i.59763733.1080210042?sp_atk=272cca28-80b1-404c-9ebb-85094dc9a00b
CeraVe,Daily Moisturizing Lotion,Moisturizer,Dry Skin,"Aqua/Water, Glycerin, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cetyl Alcohol, Ceteareth-20, Petrolatum, Potassium Phosphate, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Dimethicone, Behentrimonium Methosulfate, Sodium Lauroyl Lactylate, Sodium Hyaluronate, Cholesterol, Phenoxyethanol, Disodium EDTA, Dipotassium Phosphate, Tocopherol, Phytosphingosine, Xanthan Gum, Ethylhexylglycerin",50,88000,https://shopee.co.id/CeraVe-Daily-Moisturising-Cream-For-Dry-to-Very-Dry-Skin-177-ml-(Variasi)-i.36998337.24158993406?sp_atk=538e3893-0429-4b72-bae5-6a5144d9416d&xptdk=538e3893-0429-4b72-bae5-6a5144d9416d
La Roche Posay  productnation,Effaclar Mat Moisturizer productnation,Moisturizer,Oily,"Aqua, Glycerin, Dimethicone, Isocetyl Stearate, Alcohol Denat., Silica, Dimethicone/​Vinyl Dimethicone Crosspolymer, Acrylamide/​Sodium Acryloyldimethyltaurate Copolymer, Methyl Methacrylate Crosspolymer, Butylene Glycol, PEG-100 Stearate, Triethanolamine, Isohexadecane, Perlite, Capryloyl Salicylic Acid, Tetrasodium EDTA, Pentylene Glycol, Polysorbate 80, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Salicylic Acid",40,338900,https://shopee.co.id/La-Roche-Posay-Effaclar-Mat-Moisturizer-40ml-Pelembab-Wajah-Matte-Kulit-Normal-Berminyak-i.433144176.3488095775?uls_trackid=51a3jtgd0118&utm_campaign=-&utm_content=8521-c424a5cfbf674fe9b5a9988c3c0c910d--103101&utm_medium=affiliates&utm_source=an_11189120000&utm_term=c4j6caiycjom
Cetaphil,Moisturizing Lotion,Moisturizer,Sensitive,"Purified Water, Glycerin, Hydrogenated Polyisobutene, Cetearyl Alcohol, Ceteareth-20, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate, Dimethicone, Caprylyl Glycol, Benzyl Alcohol, Panthenol, Stearoxytrimethylsilane, Stearyl Alcohol, Sodium Levulinate, Sodium Anisate, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Citric Acid",59,58000,https://shopee.co.id/Cetaphil-Moisturizing-Lotion-59ml-dengan-Avocado-Oil-Pelembap-Perawatan-Tubuh-untuk-Kulit-Kering-Berminyak-dan-Sensitif-i.11277516.15269811112?sp_atk=dda5984c-1110-4d5d-b2f3-580a25728ab6
Hada Labo,Hadalabo Perfect 3D Gel Pelembab Wajah,Moisturizer,Normal,"Aqua (Water), Butylene Glycol, Arbutin, Niacinamide, PEG-240/​Hdi Copolymer Bis-Decyltetradeceth-20 Ether, Glycerin, Glycosyl Trehalose, Hexylglycerin, Phenoxyethanol, Disodium Succinate, Sodium Metabisulfite, Dextrin, Arginine, Succinic Acid, Hydroxypropyltrimonium Hyaluronate, Citrus Junos Seed Extract, Hydrolyzed Hyaluronic Acid, Potassium Laurate, Tocopherol, Methylparaben, Sodium Hyaluronate, Sodium Acetylated Hyaluronate",40,92000,https://shopee.co.id/Hadalabo-Perfect-3D-Gel-Pelembab-Wajah-40Gr-i.187117294.27166886689?sp_atk=e5638c14-4c88-41f9-ab08-efcf2e9f2aa1&xptdk=e5638c14-4c88-41f9-ab08-efcf2e9f2aa1
Hada Labo,Shirojyun Milk Whitening Milk,Moisturizer,Normal,"Aqua (Water), Dipropylene Glycol, Triethylhexanoin, Isopropyl Palmitate, Arbutin, Glycerin, Glyceryl Stearate, Pentylene Glycol, PEG-20 Sorbitan Isostearate, Cetyl Alcohol, Limnathes (Meadowfoam) Seed Oil, Xanthan Gum, Hydroxyethylcellulose, Methylparaben, Disodium EDTA, Carbomer, Triethanolamine, Sodium Hyaluronate, Magnesium Ascorbyl Phosphate, Tocopherol",100,65000,https://shopee.co.id/Hada-Labo-Shirojyun-Whitening-Milk-100-ml-i.270965687.5441187921?sp_atk=aa5d26ba-196e-4234-9f28-7e97dd7d7b86&xptdk=aa5d26ba-196e-4234-9f28-7e97dd7d7b86
Hada Labo,Gokujyun Moisturizing Light Lotion,Moisturizer,Oily,"Aqua (Water), Dipropylene Glycol, Glycerine, Disodium Succinate, Methylparaben, Sodium Hyaluronate, Succinic Acid, PPG-20 Methyl Glucose Ether, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate",100,45000,https://www.tokopedia.com/nihonmart/hada-labo-gokujyun-light-lotion-100ml?extParam=ivf%3Dfalse%26keyword%3Dhada+labo%26search_id%3D2024112015591256A875C407BB4F0A77C2%26src%3Dsearch
Avoskin,Avoskin Your Skin Bae Glow Concentrate Treatment Moisturizer productnation,Moisturizer,Oily,"Water, Glycerin, Propanediol, 1,2-Hexanediol, Pentylene Glycol, Dicaprylyl Carbonate, Butylene Glycol, Glyceryl Acrylate/Acrylic Acid Copolymer, Leuconostoc/Radish Root Ferment Filtrate, Lactobacillus/Soybean Ferment Extract, Lactobacillus Ferment, Lactobacillus/Acerola Cherry Ferment, Lactococcus Ferment, Bifida Ferment Filtrate, Lactococcus Ferment Lysate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus Ferment Lysate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylic/Capric Triglyceride, Tromethamine, Glucose, Chlorella Vulgaris Extract, Sodium Polyglutamate, Sodium Hyaluronate, Fructose, Hydrogenated Lecithin, Fructooligosaccharides",45,120000,https://shopee.co.id/-Cuci-Gudang-MSBB-Avoskin-Your-Skin-Bae-Glow-Concentrate-Treatment-2-Aqua-Ceramide-Multi-Probi-i.288588702.24581736049?sp_atk=0740c18c-94d7-43cb-8b88-4403c6b3d053&xptdk=0740c18c-94d7-43cb-8b88-4403c6b3d053
Emina,Bright Stuff Moisturizing Cream,Moisturizer,Normal,"Aqua, Stearic Acid, Niacinamide, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Glycerin, Propanediol, Cyclohexasiloxane, Dimethicone, Cetyl Alcohol, Heptyl Glucoside, Octocrylene, Phenoxyethanol, Titanium Dioxide, Butyl Methoxydibenzoylmethane, Polyacrylate-13, Chlorphenesin, Butylene Glycol, Polyisobutene, Potassium Hydroxide, Allantoin, Fragrance, Tocopheryl Acetate, Polysorbate 20, Triethoxycaprylylsilane, Aluminum Hydroxide, Glycyrrhiza Glabra (Licorice) Root Extract, Actinidia Polygama Fruit Extract, Heptanol",20,24000,https://shopee.co.id/Emina-Bright-Stuff-Moisturizing-Cream-20ml-Pelembab-Wajah-Mencerahkan-Merah-Jingga-Official-i.1346168602.24236312964?sp_atk=16880104-abc1-44cb-ac80-d0a1b32cd028&xptdk=16880104-abc1-44cb-ac80-d0a1b32cd028
Emina,Natura Pal Gel Moisturizer,Moisturizer,Normal,"Aqua, Cyclopentasiloxane, Niacinamide, Glycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone, Phenoxyethanol, Polyglyceryl-3 Methylglucose Distearate, Propanediol, Allantoin, Polysorbate 20, Chlorphenesin, Carbomer, Tocopheryl Acetate, Disodium EDTA, Potassium Hydroxide, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Hyaluronate, Cyclodextrin, Pisum Sativum Extract, Fragrance, Artemisia Capillaris Flower Extract.",20,37000,https://shopee.co.id/Emina-Natura-Pal-Gel-Moisturizer-20ml-Pelembab-Wajah-i.940220394.23871620729?sp_atk=b2b8ed8c-6882-4e7d-8f0a-2ce2ebb633a7&xptdk=b2b8ed8c-6882-4e7d-8f0a-2ce2ebb633a7
Hanasui,Hanasui Ceramide Probiotics Moisturizer Gel ,Moisturizer,Sensitive,"Aqua, Glycerin, Butylene Glycol, Propanediol, Niacinamide, Ethyl Macadamiate, Hydroxyethyl Urea, Glycereth-26, Galactomyces Ferment Filtrate, Phenoxyethanol, Dimethicone, Sodium Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Methyl Gluceth-20, Sodium Polyacrylate, Hydrogenated Polydecene, C15-19 Alkane, Hydrolyzed Jojoba Esters, Lactobacillus Ferment, Allantoin, Carbomer, Phytosteryl/​Octyldodecyl Lauroyl Glutamate, Tocopheryl Acetate, Aminomethyl Propanol, Triethylene Glycol, Disodium EDTA, Trideceth-6, 1,2-Hexanediol, C10-16 Alkyl Glucoside, Caprylic/​Capric Triglyceride, Hydrogenated Lecithin, Sodium Hyaluronate, Sucrose Stearate, Ceramide NP, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Pentylene Glycol, Potassium Hyaluronate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer, 2-Aminobutanol, Ceramide AP, Ceramide AS, Ceramide NG, Glycosphingolipids",30,37500,https://shopee.co.id/Hanasui-Ceramide-Probiotics-Moisturizer-Gel-Pelembab-Ringan-Lembap-Perbaiki-Skin-Barrier-dan-Mencerahkan-i.129681299.25160428674?sp_atk=2d9d0d67-6c76-4894-b919-ae407e0dbe72&xptdk=2d9d0d67-6c76-4894-b919-ae407e0dbe72
Dorskin,Pink Bliss Moisturizer Brightening ,Moisturizer,Acne,"Aqua, Niacinamide, Centella Asiatica Extract, Glycerin, Triethanolamine, Petrolatum, Isopropyl Myristate, Punica Granatum Fruit Extract, Carbomer, Propylene Glycol, Aloe Barbadensis Leaf Extract, Cetyl Alcohol, Dimethicone, 1,2- Hexanediol, Cetearyl Alcohol, Pectin, Glyceryl Stearate, Honey Extract, Caprylyl Glycol, Ceteareth-20, Disodium EDTA, PEG-40 Stearate, Acetyl Glucosamine, Arginine, Ascorbic Acid, Calcium Carbonate, Caprylic/​Capric Triglyceride, Citric Acid, Glucose, Glutathione, Hydrogenated Lecithin, Hydroxypropyl Methylcellulose, Sodium Chloride, DMDM Hydantoin, Phenoxyethanol, Benzoic Acid",30,27000,https://shopee.co.id/Dorskin-Pink-bliss-moisturizer-Brightening-pencerahan-wajah-kusam-dan-bekas-jerawat-i.484532914.29000955580?sp_atk=8993441d-6b95-4c0f-9598-5927c0242927&xptdk=8993441d-6b95-4c0f-9598-5927c0242927
Acnaway,Mugwort Water Gel Moisturizer ,Moisturizer,Acne,"Aqua, Butylene Glycol, Betaine, PEG/​PPG-17/​6 Copolymer, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Arginine, 1,2-Hexanediol, PPG-5-Ceteth-20, Artemisia Vulgaris Extract, Centella Asiatica Leaf Extract, Propylene Glycol, Panthenol, PEG/​PPG-14/​7 Dimethyl Ether, Allantoin, Pentylene Glycol, Caprylhydroxamic Acid, Dipotassium Glycyrrhizate, Phenoxyethanol, Ethylhexylglycerin, Avena Sativa (Oat) Kernel Extract, Sodium Hyaluronate, Lavandula Angustifolia Oil, Lactobacillus/​Soymilk Ferment Filtrate, Portulaca Oleracea Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Aloe Barbadensis Leaf Juice Powder, Glyceryl Caprylate, Peppermint (Mentha Piperita) Oil, Beta-Glucan",30,37000,https://shopee.co.id/ACNAWAY-Mugwort-Water-Gel-Moisturizer-with-Mugwort-Centella-Panthenol-ONLY-FOR-ACNE-SKIN-i.600850936.20085052245?sp_atk=a956ff69-41b1-4b7f-a7b2-f7e498c2ec8e&xptdk=a956ff69-41b1-4b7f-a7b2-f7e498c2ec8e
