NO,Brand,Nama Product,Category,Skin Type,Ingredients, Price ,SPF,Bentuk,ukuran (dalam ml atau gr), harga/ukuran ,Link,,,,,,,,,,,Sensitive,2,0
11,SKIN AQUA,Skin Aqua UV Sunscreen Mild Milk SPF 50 PA++++,Sunscreen,"sensitive, berjerawat","Aqua (Water), Ethylhexyl Methoxycinnamate, Polymethyl Methacrylate, Caprylyl Methicone, Diglycerin, Butylene Glycol, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Bis-Ethylhexylophenol Methoxyphenol Triazine, Polysorbate 60, Ethylhexyl Triazone, Betaine, Phenoxyethanol, Ammonium Acrolyldimethyltaurate/ VP Copolymer, Decyl Glucoside, Arginine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Methylparaben, Tocopheryl Acetate, Propylparaben, Disodium EDTA, Allantoin, Sodium Hyaluronate, Propylene Glycol, Xanthan Gum, Hydrolyzed Collagen, Polyquaternium-51"," Rp 70,000.00 ",50,Gel,40," Rp 1,750.00 ",https://shopee.co.id/Skin-Aqua-UV-Sunscreen-Mild-Milk-SPF-50-PA-40gr-(Protection-against-UV-A-UV-B)-i.78713320.3710298779?sp_atk=96dcedbd-66fc-430d-b055-4c668c64d49f&xptdk=96dcedbd-66fc-430d-b055-4c668c64d49f,,,,,,,,,,,,,
12,SKIN AQUA,"Skin Aqua UV Sunscreen Moisture Milk SPF 50+, PA+++",Sunscreen,normal,"Aqua (Water), Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Zinc Oxide, Isononyl Isononanoate, Polymethylsillsesquioxane, Butylene Glycol, Glycerin, Silica, Lauroyl Lysine, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Acrylates/Dimethicone Copolymer, Dimethicone, Triethoxysilyethyl Polydimethylsiloxyethyl Hexyl Dimethicone, Methylparaben, Propylparaben, Disodium EDTA, Tocopheryl Acetate, Sodium Hyaluronate, Sodium Acetylated Hyaluronate (AcHA), Panthenol, Dipotassium Glycyrrhizate, Hydrolyzed Collagen"," Rp 70,000.00 ",50,Gel,40," Rp 1,750.00 ",https://shopee.co.id/Skin-Aqua-UV-Sunscreen-Moisture-Milk-SPF-50-PA-40gr-(Protection-against-UV-A-and-UV-B)-i.78713320.7410201446?sp_atk=ef280331-291c-461b-a766-e81c8f00c251&xptdk=ef280331-291c-461b-a766-e81c8f00c251,,,,,,,,,,,,,
13,WARDAH,Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Sunscreen,oily,"Aqua, Ethylhexyl Methoxycinnamate, Butylene Glycol, Niacinamide, Butyl Methoxydibenzoylmethane, Octocrylene, Butyloctyl Salicylate, Cyclopentasiloxane, Pentylene Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Arachidyl Alcohol, Aluminum Starch Octenylsuccinate, Bisabolol, Alpha-Arbutin, Actinidia Polygama Fruit Extract, Leontopodium Alpinum Extract, Ammonium Acryloyldimethyltaurate/VP Copolymer, Behenyl Alcohol, Arachidyl Glucoside, Fragrance, Sodium Hydroxide, Glycerin, Citric Acid, Potassium Sorbate, Sodium Benzoate, Chlorphenesin, Phenoxyethanol.
"," Rp 34,500.00 ",50,Gel,25," Rp 1,380.00 ",https://shopee.co.id/Wardah-UV-Shield-Airy-Smooth-Sunscreen-Serum-SPF-50-PA-Sunscreen-matte-dan-ringan-i.59763733.19093091174?sp_atk=92801ee9-d623-4cd1-84a5-eb34b55d5d6d&xptdk=92801ee9-d623-4cd1-84a5-eb34b55d5d6d,,,,,,,,,,,,,
14,WARDAH,Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Sunscreen,oily,"Aqua, Ethylhexyl Methoxycinnamate, Butylene Glycol, Niacinamide, Butyl Methoxydibenzoylmethane, Octocrylene, Butyloctyl Salicylate, Cyclopentasiloxane, Pentylene Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Arachidyl Alcohol, Aluminum Starch Octenylsuccinate, Bisabolol, Alpha-Arbutin, Actinidia Polygama Fruit Extract, Leontopodium Alpinum Extract, Ammonium Acryloyldimethyltaurate/VP Copolymer, Behenyl Alcohol, Arachidyl Glucoside, Fragrance, Sodium Hydroxide, Glycerin, Citric Acid, Potassium Sorbate, Sodium Benzoate, Chlorphenesin, Phenoxyethanol.
"," Rp 54,280.00 ",50,Gel,40," Rp 1,357.00 ",https://shopee.co.id/Wardah-UV-Shield-Airy-Smooth-Sunscreen-Serum-SPF-50-PA-Sunscreen-matte-dan-ringan-i.59763733.19093091174?sp_atk=92801ee9-d623-4cd1-84a5-eb34b55d5d6d&xptdk=92801ee9-d623-4cd1-84a5-eb34b55d5d6d,,,,,,,,,,,,,
15,WARDAH,ardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++,Sunscreen,dry skin,"Aqua, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Homosalate, Butyl Methoxydibenzoylmethane, Octocrylene, Polymethyl Methacrylate, Butylene Glycol, Butyloctyl Salicylate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cyclopentasiloxane, Polyurethene-79, Arachidyl Alcohol, Polyester-7, Behenyl Alcohol, Bisabolol, Nylon-12, Phenoxyethanol,, Polyacrylate Crosspolymer-6, Caprylic/Capric Triglycerides, Neopentyl Glycol Diheptanoate, Chlorphenesin, Arachidyl Glucoside, Propanediol, Polyacrylate-13, Disodium EDTA, Fragrance, Polyisobutene, Pongamia Glabra Seed Oil, Polysorbate 20 , Artemisia Capillaris Flower Extract."," Rp 56,120.00 ",50,Gel,30," Rp 1,870.67 ",https://shopee.co.id/Wardah-UV-Shield-Aqua-Fresh-Sunscreen-Serum-SPF-50-PA-30-ml-Sunscreen-yang-Melembabkan-Kulit-Kering-Memperbaiki-Skin-Barrier-Melindungi-Kulit-secara-Maksimal-Ringan-Cepat-Meresap-Tidak-Lengket-No-Whitecast-Non-comedogenic-0-Alkohol-i.59763733.6942920160?sp_atk=073206ee-f8b3-4d8e-869f-a5e0fdf8c065&xptdk=073206ee-f8b3-4d8e-869f-a5e0fdf8c065,,,,,,,,,,,,,
16,WARDAH,Wardah UV Shield Essential Sunscreen Gel SPF 35 PA +++,Sunscreen,normal,"Aqua, Ethylhexyl Methoxycinnamate, Butyloctyl Salicylate, Butyl Methoxydibenzoylmethane, Octocrylene, Propylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Tocopheryl Acetate, Phenoxyethanol, Sodium Acrylates Copolymer, Chlorphenesin, Propanediol, Lecithin, Allantoin, Panthenol, Disodium EDTA, Fragrance, Ethylhexylglycerin, Artemisia Capillaris Flower Extract."," Rp 34,500.00 ",35,Gel,40, Rp 862.50 ,https://shopee.co.id/Wardah-UV-Shield-Essential-Sunscreen-Gel-SPF-35-PA-40-ml-Sunscreen-Wajah-0-Alkohol-dengan-Vitamin-C-Niacinamide-Brightening-Hydrating-Skin-Healthy-Glow-Tekstur-Ringan-Tidak-Lengket-Melembabkan-Mencegah-Penuaan-Dini-Semua-Jenis-Kulit-i.59763733.4656131375?sp_atk=971f23c0-b801-48b8-9e2f-31667659c452&xptdk=971f23c0-b801-48b8-9e2f-31667659c452,,,,,,,,,,,,,
17,WARDAH,Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Sunscreen,acne,"Aqua, Propanediol, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Polymethyl Methacrylate, Butylene Glycol, Octocrylene, Ammonium Acryloyldimethyltaurate/VP Copolymer, Niacinamide, 1,2-Hexanediol, Ethylhexyl Triazone, Cetearyl Olivate, Panthenol, Glycerin, Allantoin, Chlorphenesin, Propylene Glycol, Salicylic Acid, Xanthan Gum, Disodium EDTA, Lecithin, Sorbitan Olivate, Caprylhydroxamic Acid, Glycyrrhiza Glabra (Licorice) Root Extract, Aminomethyl Propanol, Phenoxyethanol, Artemisia capillaris flower Extract, Camellia Sinensis Leaf Extract, Haberlea Rhodopensis Leaf Extract, BHT, Potassium Sorbate, Sodium Benzoate, Citric Acid.
"," Rp 37,500.00 ",50,Gel,25," Rp 1,500.00 ",https://shopee.co.id/NEW!-Wardah-UV-Shield-Acne-Calming-Sunscreen-Serum-SPF-50-PA--i.59763733.24480446581?sp_atk=ffb8cf87-59a4-4282-b7f8-2ce34e0437df&xptdk=ffb8cf87-59a4-4282-b7f8-2ce34e0437df,,,,,,,,,,,,,
18,UNITARY,Unitary Watery Essence Oil Control Sunscreen for Oily Skin SPF 50+ PA++++,Sunscreen,oily,"Ethylhexyl Methoxycinnamate, Alcohol, Isopropyl Palmitate, Butylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Xylitol, Ethylhexyl Triazone, Bisethylhexyloxyphenol Methoxyphenyl Triazine, Hydrogenated Polyisobutene, Dimethicone, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Vp/​Acrylates/​Lauryl Methacrylate Copolymer, Dextrin Palmitate, Vinyl Dimethicone/​Methicone Silsesquioxane Crosspolymer, Glycerin, Phenoxyethanol, Propylene Glycol, Polyglyceryl-3 Methylglucose Distearate, Neopentyl Glycol Dicaprate, Parfum, Methylparaben, Sodium Hydroxide, Octocrylene"," Rp 49,000.00 ",50,Gel,50, Rp 980.00 ,https://shopee.co.id/Unitary-Watery-Essence-Oil-Control-Sunscreen-for-Oily-Skin-SPF-50-PA-Skin-Hydrating-Revitalizing-Waterproof-UV-Shield-Block-Sun-Damage-Prevent-Skin-Aging-50-ML-i.998472598.22074289310?sp_atk=e394b499-fe01-4797-b46a-47c498627df9&xptdk=e394b499-fe01-4797-b46a-47c498627df9,,,,,,,,,,,,,
19,UNITARY,UNITARY Sun Face Protection Serum SPF 50+ PA++++,Sunscreen,sensitive,"Water, Homosalate, Octocrylene, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Cyclopentasiloxane, Polymethylsilsesquioxane, Dimethicone, Glycerin, Alcohol, Phenylbenzimidazole Sulfonic Acid, Cetearyl Alcohol, Behenyl Alcohol, Dimethicone Crosspolymer, Sodium Hydroxide, Phenoxyethanol, Sodium Stearoyl Glutamate, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Titanium Dioxide, Methylparaben"," Rp 49,000.00 ",50,Gel,30," Rp 1,633.33 ",https://shopee.co.id/%E3%80%90Ready-Stock%E3%80%91UNITARY-Sun-Face-Protection-Serum-SPF-50-PA--i.998472598.23774293558?sp_atk=4f0491df-fa24-47bf-a05b-94d4266d2d96&xptdk=4f0491df-fa24-47bf-a05b-94d4266d2d96,,,,,,,,,,,,,
20,UNITARY,UNITARY Sun Block Moisturizer Facial SPF 50+ PA++++,Sunscreen,dry skin,"Water, C12-15 Alkyl Benzoate, Butylene Glycol, Ethylhexyl Methoxycinnamate, Cyclopentasiloxane, Cetearyl Alcohol, PEG-100 Stearate, Glyceryl Stearate, Cyclohexasiloxane, Octocrylene, Butyl Methoxydibenzoylmethane, Potassium Cetyl Phosphate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, 1,2-Hexanediol, Hydroxyacetophenone, Propanediol, Silica, Palmitic Acid, Sodium Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Tocopheryl Acetate, Parfum, Stearic Acid, Arginine, Isohexadecane"," Rp 49,000.00 ",50,Gel,50, Rp 980.00 ,https://shopee.co.id/%E3%80%90Ready-Stock%E3%80%91UNITARY-Sun-Block-Moisturizer-Facial-SPF-50-PA--i.998472598.23874279575?sp_atk=d0b68ade-6b16-47ca-a150-2c2158367346&xptdk=d0b68ade-6b16-47ca-a150-2c2158367346,50 ML,,,,,,,,,,,,
21,AVOSKIN,Sunscreen Avoskin The Great Shield SPF 50 PA++++ 5ml-Kulit Berminyak,Sunscreen,oily,"Water, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Nylon-12, Dibutyl Adipate, Phenethyl Benzoate, Ethylhexyl Triazone, Polysilicone-15, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Polyglyceryl-6 Stearate, Terephthalylidene Dicamphor Sulfonic Acid, 1,2-Hexanediol, C20-22 Alkyl Phosphate, Tromethamine, Caprylic/Capric Triglyceride, C20-22 Alcohols, Hydroxyacetophenone, Sodium Polyacryloyldimethyl Taurate, Polyacrylate Crosspolymer-6, Hydrogenated C6-20 Polyolefin, Butylene Glycol, PVP, Polyglyceryl-6 Behenate, Sodium Hyaluronate, 3-O-Ethyl Ascorbic Acid, Allantoin, HDI/Trimethylol Hexyllactone Crosspolymer, Anthemis Nobilis Flower Extract, t-Butyl Alcohol."," Rp 57,000.00 ",50,Gel,5," Rp 11,400.00 ",https://shopee.co.id/Sunscreen-Avoskin-The-Great-Shield-SPF-50-PA-5ml-Kulit-Berminyak-i.154494405.5659672032?keyword=sunscreen&shop=154494405,5 ML,,,,,,,,,,,,
22,AVOSKIN,Sunscreen Avoskin Your Skin Bae Shield of Sun SPF 50 PA++++,Sunscreen,normal,"Water, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dibutyl Adipate, Phenethyl Benzoate, Ethylhexyl Triazone, Polysilicone-15 Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diphenylsiloxy Phenyl Trimethicone, Polyglyceryl-6 Stearate, Terephthalylidene Dicamphor Sulfoni Acid, Nylon-12, 1,2-Hexanediol, C20-22 Alkyl Phosphate, Tromethamine, Caprylic/Capric Triglyceride, C20-22 Alcohols, Hydroxyacetophenone, Sodium Polyacryloyldimethyl Taurate, Polyacrylate Crosspolymer-6, Hydrogenated C6-20 Polyolefin, Butylene Glycol, PVP, Polyglyceryl-6 Behenate, Sodium Hyaluronate, 3-O-Ethyl Ascorbic Acid, Allantoin, HDI/Trimethylol Hexyllactone Crosspolymer, Anthemis Nobilis Flower Extract."," Rp 41,000.00 ",50,Gel,5," Rp 8,200.00 ",https://shopee.co.id/-CLEARANCE-SALE-Travel-Sunscreen-Avoskin-Your-Skin-Bae-Shield-of-Sun-SPF-50-PA-5ml-ED-06-25-i.154494405.22764718219?sp_atk=a1394d6a-2c28-4baa-b0ce-bf9931f1e488&xptdk=a1394d6a-2c28-4baa-b0ce-bf9931f1e488,,,,,,,,,,,,,
23,AVOSKIN,Sunscreen Avoskin Your Skin Bae Shield of Sun SPF 50 PA++++,Sunscreen,normal,"Water, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dibutyl Adipate, Phenethyl Benzoate, Ethylhexyl Triazone, Polysilicone-15 Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diphenylsiloxy Phenyl Trimethicone, Polyglyceryl-6 Stearate, Terephthalylidene Dicamphor Sulfoni Acid, Nylon-12, 1,2-Hexanediol, C20-22 Alkyl Phosphate, Tromethamine, Caprylic/Capric Triglyceride, C20-22 Alcohols, Hydroxyacetophenone, Sodium Polyacryloyldimethyl Taurate, Polyacrylate Crosspolymer-6, Hydrogenated C6-20 Polyolefin, Butylene Glycol, PVP, Polyglyceryl-6 Behenate, Sodium Hyaluronate, 3-O-Ethyl Ascorbic Acid, Allantoin, HDI/Trimethylol Hexyllactone Crosspolymer, Anthemis Nobilis Flower Extract."," Rp 155,000.00 ",50,Gel,30," Rp 5,166.67 ",https://shopee.co.id/-CLEARANCE-SALE-Travel-Sunscreen-Avoskin-Your-Skin-Bae-Shield-of-Sun-SPF-50-PA-5ml-ED-06-25-i.154494405.22764718219?sp_atk=a1394d6a-2c28-4baa-b0ce-bf9931f1e488&xptdk=a1394d6a-2c28-4baa-b0ce-bf9931f1e488,,,,,,,,,,,,,
